"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","resolution","timeStamp","rt","response","stimulus","button_pressed","value","frame_time"
"true","false","[]","[]","[]","preload","0","1097","0.0-0.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","1","2195","0.0-1.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","2","3286","0.0-2.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","3","4361","0.0-3.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","4","5448","0.0-4.0","1920x1080","","","","","","",""
"true","false","[]","[]","[]","preload","5","6660","0.0-5.0","1920x1080","","","","","","",""
"true","","","","","fullscreen","6","33862","0.0-6.0","1920x1080","13:0 9/11/2022","","","","","",""
"","","","","","survey-html-form","7","37390","0.0-7.0","1920x1080","","3524.5","{""age"":""1"",""gender"":""1""}","","","",""
"","","","","","html-button-response","8","39694","0.0-8.0","1920x1080","","2303.399999999907","","<strong>TRAINING</strong><br><br><div class=""complex"">You are going to see a series of animations.<br><br></div><div class=""complex"">Move the slider to indicate how <strong style=""text-transform:capitalize"">COMPLEX</strong> you find each animation.<br><br></div><div class=""complex"">0 = Least Complex<br></div><div class=""complex"">1 = Most Complex<br><br></div><div class=""complex"">Please use the <strong><em>entire range</em></strong> of the slider to make your ratings.<br></div><div class=""complex""><strong><em>Take your time</em></strong> and carefully consider each rating you make.<br><br></div>","0","",""
"","","","","","call-function","9","39695","0.0-9.0","1920x1080","","","","","","",""
"","","","","","animation","10","40982","0.0-10.0","1920x1080","","1286","42.46","img/999/b35/gs/999_b35(1).png","","","16"
"","","","","","animation","11","42150","0.0-11.0","1920x1080","","1167.3000000000466","44.05","img/888/b45/gs/888_b45(1).png","","","16"
"","","","","","animation","12","43389","0.0-12.0","1920x1080","","1238.8999999999069","46.69","img/888/b25/gs/888_b25(1).png","","","16"
"","","","","","animation","13","44885","0.0-13.0","1920x1080","","1495.4000000001397","44.97","img/777/b25/gs/777_b25(1).png","","","16"
"","","","","","animation","14","46054","0.0-14.0","1920x1080","","1167.5999999998603","46.03","img/999/b45/gs/999_b45(1).png","","","32"
"","","","","","animation","15","47342","0.0-15.0","1920x1080","","1287.1999999999534","48.81","img/999/b45/bw/999_b45(1).gif","","","32"
"","","","","","animation","16","48590","0.0-16.0","1920x1080","","1247.1000000000931","45.37","img/888/b45/bw/888_b45(1).gif","","","32"
"","","","","","animation","17","49806","0.0-17.0","1920x1080","","1215","47.49","img/777/b25/bw/777_b25(1).gif","","","16"
"","","","","","animation","18","51158","0.0-18.0","1920x1080","","1351.3999999999069","47.22","img/999/b40/bw/999_b40(1).gif","","","16"
"","","","","","animation","19","52366","0.0-19.0","1920x1080","","1207.8000000000466","45.11","img/888/b35/bw/888_b35(1).gif","","","32"
